data_source,family_id,individual_id,latitude1,longitude1,city1,country1,latitude2,longitude2,city2,country2
Kopelman2020_240_otherJ,0,pop_917_5750,41.896,12.4833,Rome,Italy,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_920_155,36.345,43.145,Mosul,Iraq,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_920_174,36.345,43.145,Mosul,Iraq,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_920_209,36.345,43.145,Mosul,Iraq,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_920_1551,36.345,43.145,Mosul,Iraq,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_920_1824,36.345,43.145,Mosul,Iraq,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_920_4584,36.345,43.145,Mosul,Iraq,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_920_4633,36.345,43.145,Mosul,Iraq,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_920_4663,36.345,43.145,Mosul,Iraq,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_922_30,32.8925,13.18,Tripoli,Libya,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_922_31,32.8925,13.18,Tripoli,Libya,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_922_32,32.8925,13.18,Tripoli,Libya,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_922_43,32.8925,13.18,Tripoli,Libya,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_922_77,32.8925,13.18,Tripoli,Libya,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_922_1103,32.8925,13.18,Tripoli,Libya,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_922_1104,32.8925,13.18,Tripoli,Libya,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_922_1263,32.8925,13.18,Tripoli,Libya,NA,NA,NA,NA
