Dataset,family_id,individual_id,lat1_obs,long1_obs,city1_obs,country1_obs,lat2_obs,long2_obs,city2_obs,country2_obs,#,Northeast Asian,Mediterranean,Southern African,Southwest Asian,Native American,Oceanian,Southeast Asia,Northern European,Subsaharan African,ClosestPop_prd,Lat_pred,Long_pred
Kopelman_2020_148_AJ,0,pop_930_5726,50.4334,30.5166,Kiev,Ukraine,,,,,45,"0,020064","0,442013","0,001834","0,249827","0,022435",1E-05,"0,020689","0,230905","0,012224",Romania_2,"43,4911","25,1027"
Kopelman2020_239otherJ,0,pop_11904_145,39.9272,32.8644,Ankara,Turkey,,,,,101,"0,009956","0,548454","0,003399","0,241183","0,013507","0,005741","0,01992","0,114449","0,043391",Palestinian_2,"35,4594","38,133"
Kopelman2020_239otherJ,0,pop_11904_5025,39.9272,32.8644,Ankara,Turkey,,,,,102,"0,01573","0,569612","0,007073","0,234559","0,015527","0,001474","0,01243","0,117065","0,026531",Palestinian_2,"35,8843","38,0949"
Kopelman2020_239otherJ,0,pop_11904_5031,39.9272,32.8644,Ankara,Turkey,,,,,103,"0,006843","0,564891","0,008926","0,243284","0,001373","0,006941","0,022636","0,11441","0,030696",Palestinian_2,"35,6155","38,5223"
Kopelman2020_239otherJ,0,pop_11904_5034,39.9272,32.8644,Ankara,Turkey,,,,,104,"0,012125","0,560053","0,003621","0,243807","0,009608","0,000365","0,022831","0,120965","0,026625",Palestinian_2,"36,0174","38,7795"
Kopelman2020_239otherJ,0,pop_11904_5060,39.9272,32.8644,Ankara,Turkey,,,,,105,"0,021183","0,550465","0,010045","0,229943","0,004112","0,003937","0,021222","0,13991","0,019183",Turk_2,"37,9581","38,4325"
Kopelman2020_239otherJ,0,pop_11904_5061,39.9272,32.8644,Ankara,Turkey,,,,,106,"0,013301","0,559808",1E-05,"0,242885","0,019163","0,006694","0,004304","0,120898","0,032937",Palestinian_2,"35,9769","38,7542"
Kopelman2020_239otherJ,0,pop_11904_5062,39.9272,32.8644,Ankara,Turkey,,,,,107,"0,01709","0,568384","0,007174","0,241125","0,004882",1E-05,"0,00208","0,130542","0,028712",Palestinian_2,"36,3471","39,1701"
Kopelman2020_239otherJ,0,pop_11904_5093,39.9272,32.8644,Ankara,Turkey,,,,,108,1E-05,"0,565676",1E-05,"0,251774","0,025126","0,012352","0,020748","0,099193","0,02511",Palestinian_2,"35,3634","38,3583"
Kopelman2020_239otherJ,0,pop_11904_5094,39.9272,32.8644,Ankara,Turkey,,,,,109,"0,013182","0,53966","0,008377","0,238358","0,016713","0,014865","0,015843","0,13619","0,016812",Turk_2,"38,329","39,493"
