aj_country,nj_pop,round
Belarus,Turk_west,1
Belarus,Druze,2
Belarus,Adygei,2
Belarus,Georgian,2
Belarus,Armenian,2
Belarus,Turk_south,2
Belarus,Turk_central,2
Belarus,Turk_mixed,2
Belarus,Caucasian_northeast,2
Belarus,Albanian,3
Belarus,French_south,3
Belarus,Basque-Spanish_north,3
Belarus,Sardinian,3
Belarus,Italian_north,3
Belarus,Italian_central_south,3
